I
a,an
absence
and
apple
be
beautiful
bed
big
bike
book
bus
college
cook
dinner
do,does
dressed
eat
favourite
first
for
get
go,goes
he
hi
his,hers,theirs,its
home
hot
house
in
is
island
it
like
live
love
lunch
mother
my
name
nice
not
on
outside
parents
play
quiet
rain
read
ride
sandwich
school
soup
student
the
their
then
thing
to
up
usually
wake
walk
with
